,loss,accuracy,val_loss,val_accuracy
0,1.454269528388977,0.5028125047683716,1.1684223413467407,0.6114583611488342
1,1.0485137701034546,0.6253125071525574,0.9567350149154663,0.6854166388511658
2,0.9114283323287964,0.671875,0.8323517441749573,0.734375
3,0.8101614117622375,0.7097916603088379,0.7738184332847595,0.7385416626930237
4,0.7654268145561218,0.7212499976158142,0.7010976672172546,0.7645833492279053
5,0.7151874899864197,0.7480208277702332,0.6756911873817444,0.7760416865348816
6,0.6844038367271423,0.7530208230018616,0.6272258758544922,0.7864583134651184
7,0.6473479866981506,0.768750011920929,0.6118358373641968,0.8020833134651184
8,0.6124799251556396,0.7827083468437195,0.6049697399139404,0.793749988079071
9,0.5873488783836365,0.7897916436195374,0.5883793234825134,0.7864583134651184
