,loss,accuracy,val_loss,val_accuracy
0,0.6101858019828796,0.6416666507720947,0.5944544672966003,0.6635416746139526
1,0.576888918876648,0.6805208325386047,0.571198582649231,0.6854166388511658
2,0.5615642666816711,0.6894791722297668,0.538970947265625,0.7166666388511658
3,0.5516687631607056,0.706250011920929,0.5317736864089966,0.7260416746139526
4,0.5349594354629517,0.7212499976158142,0.5189696550369263,0.7541666626930237
5,0.523368239402771,0.7322916388511658,0.5015899538993835,0.7635416388511658
6,0.5249601006507874,0.7295833230018616,0.5000670552253723,0.7583333253860474
7,0.5233001708984375,0.7244791388511658,0.5040504336357117,0.7437499761581421
8,0.5090695023536682,0.7330208420753479,0.4993041157722473,0.7604166865348816
9,0.5085174441337585,0.7403125166893005,0.4934946298599243,0.762499988079071
